pop_size: 100 gene_count: 8 gen_count: 100
gen: 0 max: 4.236862404515638 mean: 1.5266379569678028
gen: 1 max: 3.862297414130503 mean: 1.6255372754690436
gen: 2 max: 4.8697818798189125 mean: 1.4801797201925493
gen: 3 max: 3.985721061626313 mean: 1.5793244936563968
gen: 4 max: 4.156708183929267 mean: 1.6740167626078495
gen: 5 max: 4.326693349115066 mean: 1.7022697496979007
gen: 6 max: 5.994780661411632 mean: 1.8547476620096672
gen: 7 max: 5.370170016571968 mean: 1.7101815090333343
gen: 8 max: 5.36261237261458 mean: 1.80420222111928
gen: 9 max: 5.994780661411632 mean: 1.8855959214826137
gen: 10 max: 5.994780661411632 mean: 1.9583954778076842
gen: 11 max: 5.994780661411632 mean: 2.0111668190644125
gen: 12 max: 5.994780661411632 mean: 1.9982367479275067
gen: 13 max: 5.994780661411632 mean: 2.3727043114507436
gen: 14 max: 11.519866110103706 mean: 2.296573280109296
gen: 15 max: 15.697775637163168 mean: 2.43018617401727
gen: 16 max: 15.961548831459757 mean: 2.7878383753524383
gen: 17 max: 16.88075973291026 mean: 3.6251251207280104
gen: 18 max: 16.76136743573753 mean: 4.356313038914263
gen: 19 max: 17.493946066524664 mean: 4.661734563714318
gen: 20 max: 18.413040256085896 mean: 6.163660541748975
gen: 21 max: 18.413040256085896 mean: 6.988560505687546
gen: 22 max: 19.231930953381653 mean: 6.778393116339499
gen: 23 max: 20.662444858890247 mean: 6.560148837015639
gen: 24 max: 20.662444858890247 mean: 6.824235378691846
gen: 25 max: 17.095773175122527 mean: 5.599267228618519
gen: 26 max: 19.4840552726775 mean: 6.148377406047791
gen: 27 max: 19.756053183728866 mean: 6.991280074652405
gen: 28 max: 19.80146211647189 mean: 6.2308152117025655
gen: 29 max: 19.595944550454483 mean: 6.7264768433322395
gen: 30 max: 19.595944550454483 mean: 6.565050712600283
gen: 31 max: 19.595944550454483 mean: 7.936081247615197
gen: 32 max: 19.595944550454483 mean: 6.739600188510056
gen: 33 max: 19.641421554912146 mean: 7.821276853354574
gen: 34 max: 19.99376505524283 mean: 8.06304949309292
gen: 35 max: 18.031946935220777 mean: 7.220228699668069
gen: 36 max: 19.483658291817136 mean: 8.615089832015183
gen: 37 max: 19.635486488179883 mean: 7.621691981285863
gen: 38 max: 19.54122914250563 mean: 7.459203152710522
gen: 39 max: 19.54122914250563 mean: 8.565322345919885
gen: 40 max: 22.160711818820754 mean: 7.334642021595151
gen: 41 max: 21.50181306250044 mean: 7.371702965213344
gen: 42 max: 18.10835476646882 mean: 8.083181730103277
gen: 43 max: 19.84987162932643 mean: 7.743612493383202
gen: 44 max: 21.489625208963417 mean: 8.34191659867803
gen: 45 max: 21.611031022769925 mean: 8.117269765071514
gen: 46 max: 21.611031022769925 mean: 7.21841040705189
gen: 47 max: 22.50383748070989 mean: 8.062012808565617
gen: 48 max: 23.12977461070063 mean: 7.119917636199041
gen: 49 max: 23.48037083514164 mean: 8.335200868155262
gen: 50 max: 23.48037083514164 mean: 8.499168705316796
gen: 51 max: 23.657629857560416 mean: 7.015754920125321
gen: 52 max: 23.362742566713678 mean: 8.027916731240536
gen: 53 max: 23.516452916042027 mean: 9.297705165513015
gen: 54 max: 23.5619029632615 mean: 8.002086848678637
gen: 55 max: 23.545212303579504 mean: 8.418878797543123
gen: 56 max: 24.744874734915207 mean: 10.37030909808739
gen: 57 max: 24.744874734915207 mean: 8.73045758321093
gen: 58 max: 26.350574766050283 mean: 8.506200076468147
gen: 59 max: 26.26287289103594 mean: 8.900795272334486
gen: 60 max: 26.332901619154125 mean: 8.557052788498881
gen: 61 max: 26.558563543449424 mean: 7.825946214444529
gen: 62 max: 26.800120265457522 mean: 9.119361701848685
gen: 63 max: 26.800120265457522 mean: 9.434713517756862
gen: 64 max: 26.800120265457522 mean: 9.643097156268338
gen: 65 max: 24.97403717346083 mean: 9.057163798838838
gen: 66 max: 24.868671260831235 mean: 8.124502850897342
gen: 67 max: 24.793514641300685 mean: 6.722513757039598
gen: 68 max: 24.97403717346083 mean: 8.436053063310048
gen: 69 max: 24.97403717346083 mean: 7.934276652169319
gen: 70 max: 24.97403717346083 mean: 8.438063217734422
gen: 71 max: 25.182981504709105 mean: 8.05746905931126
gen: 72 max: 25.17207173006445 mean: 8.611970833925557
gen: 73 max: 25.34034842030665 mean: 10.152308762839489
gen: 74 max: 25.34034842030665 mean: 9.847314540809885
gen: 75 max: 26.410117977217457 mean: 9.026873127548651
gen: 76 max: 26.410117977217457 mean: 8.697146172372868
gen: 77 max: 26.683320249571075 mean: 8.400202066349607
gen: 78 max: 27.037142865932772 mean: 8.470603400925858
gen: 79 max: 26.336756900014652 mean: 8.655570908388247
gen: 80 max: 26.336756900014652 mean: 9.469344988631265
gen: 81 max: 26.748237810660832 mean: 9.091380718739599
gen: 82 max: 26.748237810660832 mean: 9.65327452563477
gen: 83 max: 26.745590656530627 mean: 8.488523247968512
gen: 84 max: 27.308809216359904 mean: 8.48321371880563
gen: 85 max: 27.378606628006285 mean: 8.839171024686191
gen: 86 max: 27.464200988583265 mean: 7.5339282460440335
gen: 87 max: 21.12206003712703 mean: 8.228796149379939
gen: 88 max: 21.54750656292004 mean: 8.302981335294197
gen: 89 max: 26.448103619803984 mean: 8.858865274197324
