pop_size: 25 gene_count: 3 gen_count: 100
gen: 0 max: 8.16248749675459 mean: 4.715713742382735
gen: 1 max: 20.72656932433154 mean: 6.0794852412412945
gen: 2 max: 33.714937936287455 mean: 8.352758364952674
gen: 3 max: 46.38825183783516 mean: 9.52449434899865
gen: 4 max: 58.0663631035136 mean: 9.505935807101734
gen: 5 max: 72.11847039339263 mean: 9.537270692726956
gen: 6 max: 88.3761255857128 mean: 10.682816623355881
gen: 7 max: 100.31614605088195 mean: 11.845242572197202
gen: 8 max: 113.07261706826938 mean: 12.805673275223988
gen: 9 max: 126.33724296417182 mean: 11.763136540427062
gen: 10 max: 139.99823576837522 mean: 12.800073884658415
gen: 11 max: 155.02933608063054 mean: 13.38011526486117
gen: 12 max: 167.27095514517424 mean: 11.69716204945221
gen: 13 max: 182.14095983389058 mean: 10.524075131518536
gen: 14 max: 198.00390421235912 mean: 10.362739872598004
gen: 15 max: 213.63063145954283 mean: 11.650098496856838
gen: 16 max: 228.89596696933648 mean: 11.218101952196573
gen: 17 max: 243.41775294051587 mean: 12.011186176331956
gen: 18 max: 258.0511574016901 mean: 12.639269464927931
gen: 19 max: 275.04252972569293 mean: 12.908009388832218
gen: 20 max: 288.16744259155575 mean: 13.288542017770366
gen: 21 max: 300.44462487179925 mean: 14.174054635344651
gen: 22 max: 314.2327416823871 mean: 14.785566505028546
gen: 23 max: 327.82853911673413 mean: 15.207012832156085
gen: 24 max: 339.5066503824128 mean: 15.592891331927131
gen: 25 max: 353.55875767229065 mean: 16.224018475514704
gen: 26 max: 369.8164128646107 mean: 17.055871325502526
gen: 27 max: 381.7564333297781 mean: 18.844959679012177
gen: 28 max: 394.5129043471655 mean: 18.895178018707025
gen: 29 max: 407.77753024306736 mean: 19.426359113225125
gen: 30 max: 421.43852304726994 mean: 21.41720159341626
gen: 31 max: 436.5281760187663 mean: 20.42452940871177
gen: 32 max: 448.29712168759687 mean: 21.322287571295547
gen: 33 max: 462.76657852775725 mean: 21.716270195310507
gen: 34 max: 478.6295229062254 mean: 22.725144749398236
gen: 35 max: 494.2562501534091 mean: 22.958835652008073
gen: 36 max: 509.521585663203 mean: 23.026960580765476
gen: 37 max: 524.0433716343794 mean: 23.89524812206789
gen: 38 max: 538.6767760955514 mean: 24.74414020743145
gen: 39 max: 555.6681484195532 mean: 25.619007570947236
gen: 40 max: 568.7930612854184 mean: 26.13954648313502
gen: 41 max: 581.0702435656634 mean: 26.793970506942998
gen: 42 max: 594.7421601652436 mean: 28.13487595920557
gen: 43 max: 608.5263054119793 mean: 28.45819014180684
gen: 44 max: 620.6903711054837 mean: 28.66891986346989
gen: 45 max: 634.3027530055384 mean: 28.710432359767665
gen: 46 max: 650.5604081978585 mean: 29.41388848001239
gen: 47 max: 662.5004286630259 mean: 28.72177227301933
